"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"72" "Up" "F1" "UP1_24" 3 "F1Up" "51136" "51290" "no" 28.26 3.34144737725638 488.16 6.19064322096836
"73" "Up" "F1" "UP1_25" 1 "F1Up" "51136" "51367" "UtF2" 33.36 3.50735757749055 475.48 6.16432482011242
"74" "Up" "F1" "UP1_25" 2 "F1Up" "51136" "51367" "UtF2" 32.55 3.48277736865458 503.16 6.22090821097067
"75" "Up" "F1" "UP1_25" 3 "F1Up" "51136" "51367" "UtF2" 32.5 3.48124008933569 454.39 6.11895586012253
"76" "Up" "F1" "UP1_26" 1 "F1Up" "51153" "51290" "no" 16.84 2.82375700881418 478.52 6.1706980073027
"77" "Up" "F1" "UP1_26" 2 "F1Up" "51153" "51290" "no" 20.45 3.01798288248881 535.06 6.28237889014043
"78" "Up" "F1" "UP1_26" 3 "F1Up" "51153" "51290" "no" 28.94 3.36522472120334 528.65 6.27032658717854
"79" "Up" "F1" "UP1_27" 1 "F1Up" "51153" "51290" "no" 29.99 3.40086399276092 567.32 6.34092351842641
"80" "Up" "F1" "UP1_27" 2 "F1Up" "51153" "51290" "no" 31.2 3.44041809481544 700.01 6.55109462065565
"81" "Up" "F1" "UP1_27" 3 "F1Up" "51153" "51290" "no" 31.56 3.45189049597767 616.88 6.42467451552471
"82" "Up" "F1" "UP1_28" 1 "F1Up" "51153" "51342" "UtF2" 33.2 3.50254987592244 515.86 6.24583541083876
"83" "Up" "F1" "UP1_28" 2 "F1Up" "51153" "51342" "UtF2" 35.08 3.55763116750398 558.35 6.3249860058918
"84" "Up" "F1" "UP1_28" 3 "F1Up" "51153" "51342" "UtF2" 33.88 3.52282486978385 601.58 6.39955952740216
"85" "Up" "F1" "UP1_29" 1 "F1Up" "51153" "51345" "no" 28.01 3.33256158927202 385.22 5.95381459965608
"86" "Up" "F1" "UP1_29" 2 "F1Up" "51153" "51345" "no" 29.81 3.39484390768998 492.54 6.19957567558823
"87" "Up" "F1" "UP1_29" 3 "F1Up" "51153" "51345" "no" 28.47 3.34885090128995 542.34 6.29589311103837
"88" "Up" "F1" "UP1_30" 1 "F1Up" "51153" "51367" "no" 24.87 3.21366225781531 467.39 6.14716402692509
"89" "Up" "F1" "UP1_30" 2 "F1Up" "51153" "51367" "no" 22.87 3.12982600803469 440.77 6.08852319744642
"90" "Up" "F1" "UP1_30" 3 "F1Up" "51153" "51367" "no" 32.88 3.49286457018798 511.53 6.23740623469817
"91" "Up" "F1" "UP1_31" 1 "F1Up" "51243" "51153" "UtF2" 31.96 3.46448512089807 621.1 6.43149209956526
"92" "Up" "F1" "UP1_31" 2 "F1Up" "51243" "51153" "UtF2" 34.99 3.5550623063796 556.83 6.32225998687912
"93" "Up" "F1" "UP1_31" 3 "F1Up" "51243" "51153" "UtF2" 35.7 3.57515068878559 680.54 6.52288660067262
"94" "Up" "F1" "UP1_32" 1 "F1Up" "51243" "51345" "no" 22.74 3.12412548832239 393.81 5.97586855948343
"95" "Up" "F1" "UP1_32" 2 "F1Up" "51243" "51345" "no" 30.09 3.40419289064195 408.13 6.0115857511042
"96" "Up" "F1" "UP1_32" 3 "F1Up" "51243" "51345" "no" 22.48 3.11262602502549 464.08 6.14005695115781
"97" "Up" "F1" "UP1_33" 1 "F1Up" "51243" "51367" "no" 27.28 3.30615383297526 439.63 6.08593346405901
"98" "Up" "F1" "UP1_33" 2 "F1Up" "51243" "51367" "no" 21.56 3.0708397460408 458.91 6.12885411240328
"99" "Up" "F1" "UP1_33" 3 "F1Up" "51243" "51367" "no" 27.34 3.3083508312958 403.37 5.99985425488161
"100" "Up" "F1" "UP1_34" 1 "F1Up" "51290" "51077" "no" 19.34 2.96217549002515 321.55 5.77315305258087
