"ind" "Line" "Gener" "SEL" "logGA" "logBA" "logGAc" "logBAc"
"69" "Down1_1" "Down" "F1" "no" 3.20857768342748 6.18559613478842 -0.135395649098901 0.0736526420927497
"70" "Down1_2" "Down" "F1" "DtF2" 3.01817559631938 5.87331358286531 -0.325797736207001 -0.238629909830355
"71" "Down1_3" "Down" "F1" "DtF2" 2.99646239003143 6.04496801997047 -0.347510942494958 -0.0669754727251934
"72" "Down1_4" "Down" "F1" "no" 3.38240484917472 6.35417518080844 0.0384315166483384 0.242231688112771
"73" "Down1_5" "Down" "F1" "no" 3.17545265816842 6.00008176395925 -0.168520674357965 -0.111861728736419
"74" "Down1_6" "Down" "F1" "no" 3.32391679587044 6.33615408318878 -0.0200565366559409 0.224210590493115
"75" "Down1_7" "Down" "F1" "no" 3.30749109184051 6.10671974052715 -0.0364822406858765 -0.00522375216851234
"76" "Down1_8" "Down" "F1" "no" 3.30905635437023 6.06841976533817 -0.0349169781561511 -0.0435237273574929
"77" "Down1_9" "Down" "F1" "no" 3.21480426637656 5.99877982668831 -0.129169066149827 -0.113163666007354
"78" "Down1_10" "Down" "F1" "no" 3.24003970363647 6.05577021230615 -0.103933628889911 -0.056173280389519
"79" "Down1_11" "Down" "F1" "no" 3.20109436756674 6.05771612658364 -0.14287896495965 -0.0542273661120216
"80" "Down1_12" "Down" "F1" "no" 3.35245969721549 6.25456908828784 0.00848636468910602 0.142625595592177
"81" "Down1_13" "Down" "F1" "no" 3.18680522890034 6.02064439723911 -0.157168103626045 -0.0912990954565593
"82" "Down1_14" "Down" "F1" "no" 3.17382975170107 6.06489293574017 -0.17014358082531 -0.047050556955492
"83" "Down1_15" "Down" "F1" "DtF2" 3.13080793280645 6.04396050250449 -0.213165399719933 -0.0679829901911724
"84" "Down1_16" "Down" "F1" "DtF2" 3.13422265841096 6.11738656156302 -0.209750674115426 0.00544306886735857
"85" "Down1_17" "Down" "F1" "no" 3.24123417068766 6.16452039739596 -0.102739161838729 0.0525769047002989
"86" "Down1_18" "Down" "F1" "no" 3.27539412322334 6.18530744901856 -0.0685792093030431 0.0733639563228925
"87" "Down1_19" "Down" "F1" "DtF2" 3.0351320139004 5.9471675098146 -0.308841318625984 -0.164775982881062
"88" "Down1_20" "Down" "F1" "no" 3.23138683240301 6.10909252665395 -0.112586500123376 -0.00285096604171642
"89" "Down1_21" "Down" "F1" "DtF2" 2.96933761104008 5.88835523396956 -0.374635721486304 -0.223588258726101
"90" "Down1_22" "Down" "F1" "no" 3.24738928982611 6.21182707635102 -0.0965840427002762 0.099883583655358
"91" "Down1_23" "Down" "F1" "DtF2" 2.97615924987663 5.94842537208009 -0.367814082649759 -0.163518120615577
