"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"142" "Parent" "P" "70207" 2 "PParent" "40060" "40118" "no" 17.29 2.8501282996952 334.98 5.81407082855032
"143" "Parent" "P" "70207" 3 "PParent" "40060" "40118" "no" 23.02 3.13636340329374 461.53 6.13454705724726
"144" "Parent" "P" "70207" 4 "PParent" "40060" "40118" "no" 24.64 3.20437113866532 381.69 5.94460876082272
"145" "Parent" "P" "70211" 1 "PParent" "40096" "40002" "no" 14.78 2.69327491552006 238.39 5.4739079880027
"146" "Parent" "P" "70211" 2 "PParent" "40096" "40002" "no" 20.26 3.00864849882054 331.42 5.80338645320165
"147" "Parent" "P" "70211" 3 "PParent" "40096" "40002" "no" 19.15 2.95230271562665 354.17 5.86977702385088
"148" "Parent" "P" "70211" 4 "PParent" "40096" "40002" "no" 18.01 2.89092715918786 333.08 5.80838270136762
"149" "Parent" "P" "70216" 1 "PParent" "40145" "40096" "no" 14.41 2.66792241001143 239.14 5.47704915449143
"150" "Parent" "P" "70216" 2 "PParent" "40145" "40096" "no" 20.47 3.0189603996732 279.06 5.63142681246406
"151" "Parent" "P" "70216" 3 "PParent" "40145" "40096" "no" 20.06 2.99872778253379 347.38 5.85041928162587
"152" "Parent" "P" "70216" 4 "PParent" "40145" "40096" "no" 23.12 3.14069804380418 319.37 5.76635030525812
"153" "Parent" "P" "70217" 1 "PParent" "40145" "40096" "UtF1" 23.38 3.15188095604392 445.41 6.09899520630001
"154" "Parent" "P" "70217" 2 "PParent" "40145" "40096" "UtF1" 17.47 2.86048512414597 331.33 5.80311485757569
"155" "Parent" "P" "70217" 3 "PParent" "40145" "40096" "UtF1" 24.57 3.20152618653309 498.92 6.21244576225751
"156" "Parent" "P" "70217" 4 "PParent" "40145" "40096" "UtF1" 22.11 3.09602999486936 428.58 6.06047741839494
"157" "Parent" "P" "70218" 1 "PParent" "40028" "40150" "DtF1" 15.24 2.7239235502585 363.56 5.89594434525057
"158" "Parent" "P" "70218" 2 "PParent" "40028" "40150" "DtF1" 15.42 2.73566536813518 414.49 6.02704884883197
"159" "Parent" "P" "70218" 3 "PParent" "40028" "40150" "DtF1" 19.54 2.97246364661464 411.42 6.01961459052433
