Generation	numb	LINE	Line	pop	dam 	sire	Gener	ind	rep	ident	Bloss	no.bloss	date	asd	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	SEL		
4	116	D	Down	51	3017A	3043B	F4	4014	B	51D4014B	1	1	26.06.2017	2,65	5,4	7,21	3,05	3,27	16,59	21,16	22,7836	351,0444	NA		
4	117	D	Down	51	3017A	3043B	F4	4014	B	51D4014B	2	1	26.06.2017	2,3	5,38	7,47	3,14	3,35	20,24	23,21	24,24015	469,7704	NA		
4	124	D	Down	51	3017A	3043B	F4	4014	B	51D4014B	3	1	27.06.2017	3,17	5,46	7,94	3,16	3,51	20,19	25,21	26,4799	508,9899	NA		
4	41	D	Down	51	3017A	3046A	F4	4015	B	51D4015B	1	1	30.05.2017	2,23	5,37	7,9	3,13	3,28	18,96	22,54	25,3195	427,3584	NA		
4	65	D	Down	51	3017A	3046A	F4	4015	B	51D4015B	2	1	12.06.2017	2,78	5,16	7,25	3,18	3	20,81	23,88	22,4025	496,9428	NA		
4	111	D	Down	51	3017A	3046A	F4	4015	B	51D4015B	3	1	26.06.2017	2,76	5,56	8,19	3,21	3,39	19,15	22,38	27,027	428,577	NA		
4	126	D	Down	51	3017A	3064B	F4	4016	C	51D4016C	1	2	27.06.2017	2,68	4,67	7,45	2,75	3,03	23,02	27,07	21,5305	623,1514	NA		
4	170	D	Down	51	3017A	3064B	F4	4016	C	51D4016C	2	1	06.07.2017	0,45	4,65	7,12	2,68	2,96	16,56	21,08	20,0784	349,0848	NA		
4	171	D	Down	51	3017A	3064B	F4	4016	C	51D4016C	3	1	06.07.2017	0,58	4,65	7,15	2,69	2,75	17,44	20,28	19,448	353,6832	NA		
4	218	D	Down	51	3017A	3064B	F4	4016	D	51D4016D	1	1	25.07.2017	2,11	4,73	6,72	2,29	2,81	16,8	20,41	17,136	342,888	NA		
4	219	D	Down	51	3017A	3064B	F4	4016	D	51D4016D	2	2	25.07.2017	2,43	4,94	7,5	2,84	2,71	20,03	24,21	20,8125	484,9263	NA		
4	221	D	Down	51	3017A	3064B	F4	4016	D	51D4016D	3	3	26.07.2017	4,87	5,06	7,38	2,65	2,57	19,71	25,93	19,2618	511,0803	NA		
4	121	D	Down	51	3022A	3002B	F4	4017	A	51D4017A	1	1	27.06.2017	2,7	5,47	7,52	3,3	3,22	20,36	24,04	24,5152	489,4544	NA		
4	173	D	Down	51	3022A	3002B	F4	4017	A	51D4017A	2	1	06.07.2017	2,87	5,71	7,01	2,49	3,04	17,75	20,16	19,38265	357,84	NA		
4	186	D	Down	51	3022A	3002B	F4	4017	A	51D4017A	3	1	07.07.2017	3,28	5,03	7,57	3,11	3,29	18,33	21,79	24,224	399,4107	NA		
4	83	D	Down	51	3022A	3003B	F4	4018	B	51D4018B	1	1	17.06.2017	2,72	5,1	7,44	3,2	3,1	21,87	24,33	23,436	532,0971	NA		
4	157	D	Down	51	3022A	3003B	F4	4018	B	51D4018B	2	1	07.07.2017	3,36	5,07	7,04	3,04	2,83	19,5	23,42	20,6624	456,69	NA		
4	158	D	Down	51	3022A	3003B	F4	4018	B	51D4018B	3	1	07.07.2017	3,16	5,22	6,57	2,52	2,58	19,56	21,9	16,7535	428,364	NA		
4	225	D	Down	51	3022A	3003B	F4	4018	D	51D4018D	1	1	26.07.2017	2,62	5,42	6,35	2,56	2,57	18,02	19,81	16,28775	356,9762	NA		
4	226	D	Down	51	3022A	3003B	F4	4018	D	51D4018D	2	1	26.07.2017	3,61	6,08	8,8	3,81	3,66	20,39	24,84	32,868	506,4876	NA		
4	227	D	Down	51	3022A	3003B	F4	4018	D	51D4018D	3	1	26.07.2017	3,47	5,59	7,73	3,08	2,91	18,01	22,2	23,15135	399,822	NA		
4	63	D	Down	51	3022A	3004A	F4	4019	D	51D4019D	1	1	06.06.2017	2,2	5,26	8,72	3,13	3,08	20,67	24,37	27,0756	503,7279	NA		
4	64	D	Down	51	3022A	3004A	F4	4019	D	51D4019D	2	1	06.06.2017	1,39	4,97	6,73	3,12	3,16	20,39	22,43	21,1322	457,3477	NA		
