ind	Line	Gener	block	dam	sire	bloss	malefl	gad	Gwtot	GHl	GHr	UBL	UBW	GA	UBA	lbl	lbw	selected	select_rand	SEL
70440	Parent	P	8	40136	40150	4	1	3.22	6.64	2.65	2.65	20.14	20.54	17.60	413.68	NA	NA	NA	NA	no
70441	Parent	P	8	40150	40063	1	1	3.75	6.69	2.58	2.62	17.14	22.19	17.39	380.34	NA	NA	NA	NA	no
70441	Parent	P	8	40150	40063	2	1	3.31	7.28	2.90	2.90	19.89	22.66	21.11	450.71	NA	NA	NA	NA	no
70441	Parent	P	8	40150	40063	3	1	3.88	6.87	2.90	2.84	21.12	21.14	19.72	446.48	NA	NA	NA	NA	no
70441	Parent	P	8	40150	40063	4	1	3.35	6.82	2.67	2.79	18.49	20.27	18.62	374.79	NA	NA	NA	NA	no
70441	Parent	P	8	40150	40063	5	1	3.43	8.04	3.04	2.75	21.80	22.81	23.28	497.26	NA	NA	NA	NA	no
70443	Parent	P	9	40025	40025	1	1	3.27	6.19	2.71	2.29	18.04	18.76	15.48	338.43	NA	NA	NA	NA	no
70443	Parent	P	9	40025	40025	2	2	3.49	6.38	2.73	2.82	16.66	19.51	17.70	325.04	NA	NA	NA	NA	no
70443	Parent	P	9	40025	40025	3	1	3.72	6.70	3.07	2.60	17.90	19.32	18.99	345.83	NA	NA	NA	NA	no
70443	Parent	P	9	40025	40025	4	2	3.32	5.98	3.04	3.15	17.92	19.00	18.51	340.48	NA	NA	NA	NA	no
70451	Parent	P	9	40128	40109	1	1	2.95	7.74	2.97	3.07	16.53	18.48	23.37	305.47	NA	NA	NA	NA	no
70451	Parent	P	9	40128	40109	2	1	4.04	6.78	2.79	2.81	18.37	19.01	18.98	349.21	NA	NA	NA	NA	no
70451	Parent	P	9	40128	40109	3	1	3.46	6.92	2.82	3.01	20.26	19.65	20.17	398.11	NA	NA	NA	NA	no
70451	Parent	P	9	40128	40109	4	1	2.85	6.97	2.65	2.73	18.62	18.94	18.75	352.66	NA	NA	NA	NA	no
70453	Parent	P	9	40143	40109	1	1	3.22	6.38	2.50	2.38	15.97	18.00	15.57	287.46	NA	NA	NA	NA	no
70453	Parent	P	9	40143	40109	2	1	2.87	7.05	2.89	2.66	20.57	19.91	19.56	409.55	NA	NA	NA	NA	no
