No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
64	U	Up	70	U3028B	U3031B	F4	4022	B	70U4022B	3	1	27.07.2016	0,3	2,92	7,76	3,24	3,17	21,25	21,73	24,8708	461,7625	NA		
43	U	Up	70	U3028B	U3063B	F4	4023	A	70U4023A	1	3	25.07.2016	0,19	3,89	7,38	3,22	3,45	21,66	22,89	24,6123	495,7974	NA		
169	U	Up	70	U3028B	U3063B	F4	4023	A	70U4023A	2	2	23.08.2016	0,12	3,23	7,16	3,12	3,05	19,22	19,67	22,0886	378,0574	NA		
209	U	Up	70	U3028B	U3063B	F4	4023	A	70U4023A	3	1	28.08.2016	0	3,22	7,06	2,93	2,86	18,84	19,91	20,4387	375,1044	NA		
114	U	Up	70	U3028B	U3008B	F4	4024	A	70U4024A	1	1	08.08.2016	0	3,75	7,61	3,18	3,35	21,14	22,48	24,84665	475,2272	NA		
162	U	Up	70	U3028B	U3008B	F4	4024	A	70U4024A	2	1	11.08.2016	0	3,83	7,51	3,18	2,88	22,05	22,48	22,7553	495,684	NA		
188	U	Up	70	U3028B	U3008B	F4	4024	A	70U4024A	3	1	24.08.2016	0,3	3,61	7,2	2,88	2,9	20,43	20,51	20,808	419,0193	NA		
132	U	Up	70	U3028B	U3064	F4	4024	B	70U4024B	1	1	08.08.2016	0,99	2,95	7,58	3,14	3,32	21,8	22,73	24,4834	495,514	NA		
200	U	Up	70	U3028B	U3064	F4	4024	B	70U4024B	2	1	24.08.2016	0,6	3,12	6,65	2,84	2,98	21,9	21,61	19,3515	473,259	NA		
201	U	Up	70	U3028B	U3064	F4	4024	B	70U4024B	3	2	24.08.2016	0	3,12	6,23	2,51	2,55	19,65	17,8	15,7619	349,77	NA		
210	U	Up	70	U3031B	U3027	F4	4025	A	70U4025A	1	1	28.08.2016	0	3,8	7,07	3,01	2,86	21,43	21,93	20,75045	469,9599	NA		
211	U	Up	70	U3031B	U3027	F4	4025	A	70U4025A	2	3	28.08.2016	0	3,74	7,08	3,07	2,72	23,31	22,16	20,4966	516,5496	NA		
229	U	Up	70	U3031B	U3027	F4	4025	A	70U4025A	3	1	29.08.2016	0	3,57	6,35	2,59	2,48	19,31	18,41	16,09725	355,4971	NA		
23	U	Up	70	U3031B	U3038B	F4	4026	B	70U4026B	1	1	21.07.2016	0	4,22	6,97	3,01	2,82	22,33	24,09	20,31755	537,9297	NA		
131	U	Up	70	U3031B	U3038B	F4	4026	B	70U4026B	2	1	08.08.2016	0	3,53	7,3	3,07	2,9	19,64	20,5	21,7905	402,62	NA		
231	U	Up	70	U3031B	U3038B	F4	4026	B	70U4026B	3	1	29.08.2016	0	4,16	7,6	3,22	3,29	20,29	21,9	24,738	444,351	NA		
32	U	Up	70	U3031B	U3054	F4	4027	A	70U4027A	1	1	22.07.2016	1,53	2,64	6,33	2,33	1,08	19,52	19,79	10,79265	386,3008	NA		
140	U	Up	70	U3031B	U3054	F4	4027	A	70U4027A	2	1	09.08.2016	0,8	2,45	6,83	2,78	2,98	21,93	20,44	19,6704	448,2492	NA		
236	U	Up	70	U3031B	U3054	F4	4027	A	70U4027A	3	1	31.01.1900	0	3,27	6,97	3,18	2,82	20,56	19,95	19,6704	410,172	NA		
33	U	Up	70	U3031B	U3054	F4	4027	B	70U4027B	1	1	22.07.2016	0	2,97	5,54	2,26	2,25	20,6	19,03	12,4927	392,018	NA		
50	U	Up	70	U3031B	U3054	F4	4027	B	70U4027B	2	1	26.07.2016	0,63	3,32	6,19	2,46	2,53	21,01	21,17	15,44405	444,7817	NA		
65	U	Up	70	U3031B	U3054	F4	4027	B	70U4027B	3	1	27.07.2016	0	2,48	7,38	2,45	2,91	21,46	21,25	19,7784	456,025	NA		
70	U	Up	70	U3031B	U3008B	F4	4028	A	70U4028A	1	2	27.07.2016	0	3,49	6,92	2,73	2,88	19,02	19,25	19,4106	366,135	NA		
176	U	Up	70	U3031B	U3008B	F4	4028	A	70U4028A	2	2	23.08.2016	0,3	3,83	6,97	2,74	2,66	19,99	18,62	18,819	372,2138	NA		
228	U	Up	70	U3031B	U3008B	F4	4028	A	70U4028A	3	1	29.08.2016	0	4,38	6,66	2,69	2,57	18,29	19,42	17,5158	355,1918	NA		
26	U	Up	70	U3031B	U3008B	F4	4028	B	70U4028B	1	1	22.07.2016	0	2,36	7,55	2,64	2,53	20,72	20,18	12,0242	418,1296	NA		
148	U	Up	70	U3031B	U3008B	F4	4028	B	70U4028B	2	2	10.08.2016	1,05	2,67	7,46	2,72	2,7	22,95	23,69	13,5903	543,6855	NA		
180	U	Up	70	U3031B	U3008B	F4	4028	B	70U4028B	3	2	24.08.2016	0	2,43	7,47	2,64	2,6	21,13	20,02	12,28365	423,0226	NA		
5	U	Up	70	U3032	U3001	F4	4030	A	70U4030A	1	1	16.07.2016	0,37	2,52	6,96	2,69	2,95	19,79	20,26	19,6272	400,9454	NA		
29	U	Up	70	U3032	U3001	F4	4030	A	70U4030A	2	1	22.07.2016	0	2,86	7,46	3,07	3,17	21,32	23,06	23,2752	491,6392	NA		
59	U	Up	70	U3032	U3001	F4	4030	A	70U4030A	3	3	27.07.2016	1,07	3,19	7,17	3,09	2,59	20,66	23,02	20,3628	475,5932	NA		
72	U	Up	70	U3032	U3054	F4	4032	A	70U4032A	1	1	28.07.2016	0	3,91	6,96	3,08	2,93	21,35	21,62	20,9148	461,587	NA		
185	U	Up	70	U3032	U3054	F4	4032	A	70U4032A	2	1	24.08.2016	0,8	4,56	7,48	3,53	3,22	23,33	21,52	25,245	502,0616	NA		
241	U	Up	70	U3032	U3054	F4	4032	A	70U4032A	3	2	31.08.2016	2,32	3,62	7,52	3,13	3,04	24,06	21,29	23,1992	512,2374	NA		
96	U	Up	70	U3033	U3023	F4	4033	A	70U4033A	1	1	05.08.2016	0	3,3	6,9	2,66	2,61	20,18	19,22	18,1815	387,8596	NA		
97	U	Up	70	U3033	U3023	F4	4033	A	70U4033A	2	1	05.08.2016	0	3,97	6,93	2,84	2,68	21,38	20,41	19,1268	436,3658	NA		
146	U	Up	70	U3033	U3023	F4	4033	A	70U4033A	3	2	10.08.2016	0	4,05	7,25	3,01	2,82	21,79	22,23	21,13375	484,3917	NA		
24	U	Up	70	U3033	U3023	F4	4033	B	70U4033B	1	1	21.07.2016	0,75	3,67	6,97	2,48	2,78	18,83	19,96	18,3311	375,8468	NA		
178	U	Up	70	U3033	U3023	F4	4033	B	70U4033B	2	1	23.08.2016	0	3,66	7,61	3,06	3,2	18,72	19,26	23,8193	360,5472	NA		
238	U	Up	70	U3033	U3023	F4	4033	B	70U4033B	3	2	31.08.2016	0,44	3,53	7,63	3,08	2,95	17,78	20,22	23,00445	359,5116	NA		
8	U	Up	70	U3033	U3028B	F4	4034	A	70U4034A	1	1	16.07.2016	0,83	3,72	6,83	3,06	3,25	21,14	22,75	21,54865	480,935	NA		
205	U	Up	70	U3033	U3028B	F4	4034	A	70U4034A	2	1	28.08.2016	0	3,67	7,97	3,79	3,47	22,97	25,6	28,9311	588,032	NA		
206	U	Up	70	U3033	U3028B	F4	4034	A	70U4034A	3	3	28.08.2016	1,6	4,2	9,13	3,96	3,64	24,73	28,19	34,694	697,1387	NA		
127	U	Up	70	U3033	U3031B	F4	4035	A	70U4035A	1	2	08.08.2016	0	3,38	7,09	2,5	2,26	21,68	21,47	16,8742	465,4696	NA		
128	U	Up	70	U3033	U3031B	F4	4035	A	70U4035A	2	1	08.08.2016	0	2,97	7,51	2,81	2,73	22,83	22,69	20,8027	518,0127	NA		
129	U	Up	70	U3033	U3031B	F4	4035	A	70U4035A	3	2	08.08.2016	0	3,17	6,93	2,83	2,57	22,3	23,31	18,711	519,813	NA		
103	U	Up	70	U3033	U3031B	F4	4035	B	70U4035B	1	2	05.08.2016	0	3,24	6,5	2,45	2,48	18,88	19,85	16,0225	374,768	NA		
217	U	Up	70	U3033	U3031B	F4	4035	B	70U4035B	2	1	29.08.2016	0	2,39	7,14	2,78	2,65	20,92	21,41	19,3851	447,8972	NA		
218	U	Up	70	U3033	U3031B	F4	4035	B	70U4035B	3	2	29.08.2016	1,94	3,04	7,07	2,76	2,6	21,42	23,53	18,9476	504,0126	NA		
9	U	Up	70	U3033	U3056	F4	4036	A	70U4036A	1	2	19.07.2016	1,13	2,86	6,7	2,49	2,61	19,91	21,96	17,085	437,2236	NA		
104	U	Up	70	U3033	U3056	F4	4036	A	70U4036A	2	1	07.08.2016	0	3,48	6,95	3,03	2,85	20,99	21,41	20,433	449,3959	NA		
145	U	Up	70	U3033	U3056	F4	4036	A	70U4036A	3	1	09.08.2016	NA	3,22	6,99	2,73	2,92	19,65	20,67	19,74675	406,1655	NA		
12	U	Up	70	U3035	U3003	F4	4037	A	70U4037A	1	2	20.07.2016	0	3,8	6,18	2,54	2,31	19,36	18,77	14,9865	363,3872	NA		
88	U	Up	70	U3035	U3003	F4	4037	A	70U4037A	2	2	29.07.2016	0	3,13	7,39	3	2,92	21,63	23,82	21,8744	515,2266	NA		
224	U	Up	70	U3035	U3003	F4	4037	A	70U4037A	3	2	29.08.2016	0	2,84	6,36	2,46	2,43	18,93	20,73	15,5502	392,4189	NA		
11	U	Up	70	U3035	U3003	F4	4037	B	70U4037B	1	1	20.07.2016	0	2,82	5,51	1,92	2,36	18,35	20,53	11,7914	376,7255	NA		
58	U	Up	70	U3035	U3003	F4	4037	B	70U4037B	2	3	27.07.2016	0,73	3,4	7,53	2,72	2,94	19,65	22,24	21,3099	437,016	NA		
102	U	Up	70	U3035	U3003	F4	4037	B	70U4037B	3	1	05.08.2016	0	2,77	6,81	2,65	2,58	18,61	20,51	17,80815	381,6911	NA		
46	U	Up	70	U3035	U3031B	F4	4038	A	70U4038A	1	1	25.07.2016	0	3,49	7,42	3,23	3,22	21,45	23,06	23,9295	494,637	NA		
55	U	Up	70	U3035	U3031B	F4	4038	A	70U4038A	2	1	26.07.2016	0	3,35	7,13	3,25	2,94	20,61	23,26	22,06735	479,3886	NA		
108	U	Up	70	U3035	U3031B	F4	4038	A	70U4038A	3	1	07.08.2016	0	3,1	6,74	2,83	2,62	18,8	20,03	18,3665	376,564	NA		
38	U	Up	70	U3035	U3031B	F4	4038	B	70U4038B	1	2	25.07.2016	0	3,12	6,66	2,85	2,46	21,37	22,82	17,6823	487,6634	NA		
57	U	Up	70	U3035	U3031B	F4	4038	B	70U4038B	2	2	27.07.2016	0	3,51	7,65	2,92	2,74	20,78	24,62	21,6495	511,6036	NA		
101	U	Up	70	U3035	U3031B	F4	4038	B	70U4038B	3	1	05.07.2016	0	3,21	7,56	2,89	2,79	20,31	21,86	21,4704	443,9766	NA		
1	U	Up	70	U3035	U3008B	F4	4040	A	70U4040A	1	1	15.07.2016	0	3,13	6,35	2,4	2,73	18,76	20,02	16,28775	375,5752	NA		
13	U	Up	70	U3035	U3008B	F4	4040	A	70U4040A	2	1	20.07.2016	0	3,79	6,84	2,69	2,94	20,75	21,84	19,2546	453,18	NA		
73	U	Up	70	U3035	U3008B	F4	4040	A	70U4040A	3	2	28.07.2016	0	3,64	6,23	2,58	2,34	20,12	20,14	15,3258	405,2168	NA		
141	U	Up	70	U3038B	U3003	F4	4041	A	70U4041A	1	2	09.08.2016	0	4,01	7,7	3,2	2,82	21,05	23,06	23,177	485,413	NA		
216	U	Up	70	U3038B	U3003	F4	4041	A	70U4041A	2	2	28.08.2016	0	3,88	6,37	2,49	2,33	19,5	22,9	15,3517	446,55	NA		
NA	U	Up	70	U3038B	U3003	F4	4041	A	70U4041A	3	1	28.08.2016	0	3,81	7,36	3,28	2,86	21,36	23,42	22,5952	500,2512	NA		
90	U	Up	70	U3038B	U3003	F4	4041	B	70U4041B	1	1	29.07.2016	0	3,96	7,86	2,73	2,84	22,45	21,7	21,8901	487,165	NA		
109	U	Up	70	U3038B	U3003	F4	4041	B	70U4041B	2	1	07.08.2016	0	3,57	6,43	2,75	2,7	20,68	19,41	17,52175	401,3988	NA		
110	U	Up	70	U3038B	U3003	F4	4041	B	70U4041B	3	1	07.08.2016	0	3,77	6,68	2,82	2,85	21,41	19,67	18,9378	421,1347	NA		
244	U	Up	70	U3038B	U3033	F4	4042	B	70U4042B	1	1	02.09.2016	0	2,8	6,07	2,47	2,57	16,69	17	15,2964	283,73	NA		
245	U	Up	70	U3038B	U3033	F4	4042	B	70U4042B	2	1	02.09.2016	0	3,81	6,24	2,44	2,48	17,89	19,26	15,3504	344,5614	NA		
246	U	Up	70	U3038B	U3033	F4	4042	B	70U4042B	3	1	03.09.2016	0	4,16	7,32	3,11	2,64	21,67	21,17	21,045	458,7539	NA		
153	U	Up	70	U3038B	U3056	F4	4043	A	70U4043A	1	1	10.08.2016	0	4,23	7,67	3,36	3,11	23,16	23,56	24,81245	545,6496	NA		
248	U	Up	70	U3038B	U3056	F4	4043	A	70U4043A	2	3	05.09.2016	0	5,12	6,79	2,9	2,94	22,64	24,37	19,8268	551,7368	NA		
249	U	Up	70	U3038B	U3056	F4	4043	A	70U4043A	3	3	07.09.2016	1,05	4,19	6,68	2,72	2,68	21,38	20,82	18,036	445,1316	NA		
117	U	Up	70	U3038B	U3063B	F4	4044	B	70U4044B	1	1	08.08.2016	0	4,2	7,48	3,18	3,16	22,66	22,4	23,7116	507,584	NA		
239	U	Up	70	U3038B	U3063B	F4	4044	B	70U4044B	2	1	31.08.2016	0,48	4,24	6,1	2,81	2,99	22,23	22,4	17,69	497,952	NA		
247	U	Up	70	U3038B	U3063B	F4	4044	B	70U4044B	3	1	04.09.2016	0	4,29	7,85	3,05	3,3	26,43	25,53	24,92375	674,7579	NA		
39	U	Up	70	U3054	U3027	F4	4045	A	70U4045A	1	1	25.07.2016	0	2,95	5,66	2,34	2,75	17,46	16,93	14,4047	295,5978	NA		
71	U	Up	70	U3054	U3027	F4	4045	A	70U4045A	2	1	27.07.2016	0	3,7	6,03	2,28	2,37	19,37	19,29	14,01975	373,6473	NA		
181	U	Up	70	U3054	U3027	F4	4045	A	70U4045A	3	1	24.08.2016	0	3,02	6,03	2,34	2,44	17,62	18,34	14,4117	323,1508	NA		
45	U	Up	70	U3054	U3027	F4	4045	B	70U4045B	1	1	25.07.2016	0	2,91	6,44	2,85	2,72	18,93	21,11	17,9354	399,6123	NA		
161	U	Up	70	U3054	U3027	F4	4045	B	70U4045B	2	1	11.08.2016	1,36	3,55	7,13	2,8	3,28	21,21	21,98	21,6752	466,1958	NA		
189	U	Up	70	U3054	U3027	F4	4045	B	70U4045B	3	1	24.08.2016	0	3,25	6,68	2,61	2,82	20,48	19,91	18,1362	407,7568	NA		
3	U	Up	70	U3054	U3033	F4	4046	B	70U4046B	1	1	16.07.2016	0	3,05	7,52	2,44	2,95	20,99	21,81	20,2664	457,7919	NA		
6	U	Up	70	U3054	U3033	F4	4046	B	70U4046B	2	1	16.07.2016	0	3,52	7,18	2,64	2,81	21,2	20,83	19,5655	441,596	NA		
123	U	Up	70	U3054	U3033	F4	4046	B	70U4046B	3	1	08.08.2016	0	3,3	6,87	2,67	2,57	21,25	21,37	17,9994	454,1125	NA		
106	U	Up	70	U3054	U3035	F4	4047	A	70U4047A	1	2	07.08.2016	0	3,37	6,92	3,04	2,73	20,72	21,88	19,9642	453,3536	NA		
107	U	Up	70	U3054	U3035	F4	4047	A	70U4047A	2	1	07.08.2016	0	2,83	7,57	3,2	3,03	20,23	20,52	23,58055	415,1196	NA		
155	U	Up	70	U3054	U3035	F4	4047	A	70U4047A	3	3	10.08.2016	0,1	2,55	7,14	2,81	2,64	19,93	21,45	19,4565	427,4985	NA		
48	U	Up	70	U3054	U3035	F4	4047	B	70U4047B	1	1	26.07.2016	0,51	2,74	7,47	3,17	2,83	21,34	23,04	22,41	491,6736	NA		
135	U	Up	70	U3054	U3035	F4	4047	B	70U4047B	2	2	09.08.2016	0	2,46	6,85	2,83	2,6	19,93	22,35	18,59775	445,4355	NA		
136	U	Up	70	U3054	U3035	F4	4047	B	70U4047B	3	3	09.08.2016	0,83	2,89	6,56	2,66	2,65	22,05	22,57	17,4168	497,6685	NA		
111	U	Up	70	U3054	U3060B	F4	4048	A	70U4048A	1	2	07.08.2016	0	3,56	7,05	3,13	2,92	24,92	24,13	21,32625	601,3196	NA		
134	U	Up	70	U3054	U3060B	F4	4048	A	70U4048A	2	1	08.08.2016	0,95	3,29	6,93	2,96	3,07	23,3	22,9	20,89395	533,57	NA		
233	U	Up	70	U3054	U3060B	F4	4048	A	70U4048A	3	1	30.08.2016	0	3,29	7,05	2,78	2,93	22,67	23,34	20,12775	529,1178	NA		
91	U	Up	70	U3056	U3001	F4	4049	A	70U4049A	1	2	29.07.2016	0	3,78	7,77	3,26	3,11	22,89	25,24	24,74745	577,7436	NA		
124	U	Up	70	U3056	U3001	F4	4049	A	70U4049A	2	1	08.08.2016	0,58	3,51	8,75	3,23	2,96	23,29	23,79	27,08125	554,0691	NA		
125	U	Up	70	U3056	U3001	F4	4049	A	70U4049A	3	1	08.08.2016	0,64	3,13	7,6	3,13	2,91	21,33	23,02	22,952	491,0166	NA		
21	U	Up	70	U3056	U3001	F4	4049	B	70U4049B	1	1	21.07.2016	0,2	3,6	6,28	2,5	2,79	24,29	25,22	16,6106	612,5938	NA		
92	U	Up	70	U3056	U3001	F4	4049	B	70U4049B	2	1	29.07.2016	NA	3,99	6,1	3,05	3,1	24,38	25,36	18,7575	618,2768	NA		
126	U	Up	70	U3056	U3001	F4	4049	B	70U4049B	3	1	08.08.2016	0,43	3,8	6,92	2,93	3,05	23,81	24,82	20,6908	590,9642	NA		
10	U	Up	70	U3056	U3003	F4	4050	A	70U4050A	1	1	20.07.2016	0	3,27	7,45	3,2	3,36	18,51	19,67	24,436	364,0917	NA		
27	U	Up	70	U3056	U3003	F4	4050	A	70U4050A	2	1	22.07.2016	0	3,06	6,97	2,96	2,98	19,54	19,27	20,7009	376,5358	NA		
56	U	Up	70	U3056	U3003	F4	4050	A	70U4050A	3	2	27.07.2016	0	3,8	7,5	3,42	3,22	19,52	20,31	24,9	396,4512	NA		
120	U	Up	70	U3056	U3003	F4	4050	B	70U4050B	1	1	08.08.2016	0,5	3,73	6,12	2,71	2,69	18,06	17,27	16,524	311,8962	NA		
164	U	Up	70	U3056	U3003	F4	4050	B	70U4050B	2	1	11.08.2016	0	3,67	6,93	3,41	3	21,49	20,57	22,21065	442,0493	NA		
174	U	Up	70	U3056	U3003	F4	4050	B	70U4050B	3	2	23.08.2016	0	3,84	7,97	3,86	3,57	23,68	24,65	29,60855	583,712	NA		
177	U	Up	70	U3056	U3024B	F4	4051	A	70U4051A	1	2	23.08.2016	0	4,69	7,35	3,41	3,13	24,14	21,51	24,0345	519,2514	NA		
230	U	Up	70	U3056	U3024B	F4	4051	A	70U4051A	2	1	29.08.2016	0	3,64	7,04	2,83	2,95	22,07	22,38	20,3456	493,9266	NA		
237	U	Up	70	U3056	U3024B	F4	4051	A	70U4051A	3	2	31.08.2016	0,99	3,45	6,96	2,73	2,8	20,99	19,63	19,2444	412,0337	NA		
2	U	Up	70	U3056	U3035	F4	4052	A	70U4052A	1	1	15.07.2016	0	3,19	7,34	2,9	3,13	20,16	23,58	22,1301	475,3728	NA		
86	U	Up	70	U3056	U3035	F4	4052	A	70U4052A	2	1	28.07.2016	0	3,28	7,69	3,3	2,66	18,64	21,1	22,9162	393,304	NA		
175	U	Up	70	U3056	U3035	F4	4052	A	70U4052A	3	2	23.08.2016	0,2	3,95	6,68	3,02	2,57	19,37	21,56	18,6706	417,6172	NA		
7	U	Up	70	U3056	U3035	F4	4052	B	70U4052B	1	1	16.07.2016	0	3,81	7,14	3,6	3,2	23,35	24,58	24,276	573,943	NA		
94	U	Up	70	U3056	U3035	F4	4052	B	70U4052B	2	1	29.07.2016	0	4,22	8,29	3,2	3,56	23,92	27,08	28,0202	647,7536	NA		
95	U	Up	70	U3056	U3035	F4	4052	B	70U4052B	3	1	29.07.2016	0	3,85	8,67	3,68	3,62	25,55	27,96	31,6455	714,378	NA		
15	U	Up	70	U3060B	U3028B	F4	4053	A	70U4053A	1	2	20.07.2016	NA	3,25	7,31	3,22	3,39	23,53	24,69	24,15955	580,9557	NA		
66	U	Up	70	U3060B	U3028B	F4	4053	A	70U4053A	2	1	27.07.2016	0,85	2,71	6,56	2,79	3,02	14,81	18,21	19,0568	269,6901	NA		
202	U	Up	70	U3060B	U3028B	F4	4053	A	70U4053A	3	1	24.08.2016	0	2,97	6,94	2,82	2,85	20,19	19,94	19,6749	402,5886	NA		
44	U	Up	70	U3060B	U3033	F4	4054	A	70U4054A	1	2	25.07.2016	0,64	2,97	7,79	3,57	3,31	20,62	23,28	26,7976	480,0336	NA		
160	U	Up	70	U3060B	U3033	F4	4054	A	70U4054A	2	1	11.08.2016	0,67	3,13	8	3,23	3,28	20,76	21,96	26,04	455,8896	NA		
168	U	Up	70	U3060B	U3033	F4	4054	A	70U4054A	3	1	23.08.2016	0,63	3,15	8,47	3,36	3,41	22,11	24,09	28,67095	532,6299	NA		
142	U	Up	70	U3060B	U3033	F4	4054	B	70U4054B	1	3	09.08.2016	0	2,96	8,13	3,25	3,14	22,04	24,94	25,97535	549,6776	NA		
151	U	Up	70	U3060B	U3033	F4	4054	B	70U4054B	2	1	10.08.2016	0	3,03	7,43	3,2	3,04	19,76	21,38	23,1816	422,4688	NA		
152	U	Up	70	U3060B	U3033	F4	4054	B	70U4054B	3	3	10.08.2016	0	3,62	7,14	2,82	2,78	20,51	21,85	19,992	448,1435	NA		
78	U	Up	70	U3060B	U3056	F4	4055	A	70U4055A	1	1	28.07.2016	0	3,23	6,86	2,57	2,64	18,95	18,83	17,8703	356,8285	NA		
192	U	Up	70	U3060B	U3056	F4	4055	A	70U4055A	2	1	24.08.2016	0,48	3,02	6,81	2,83	2,66	20,9	20,85	18,69345	435,765	NA		
193	U	Up	70	U3060B	U3056	F4	4055	A	70U4055A	3	3	24.08.2016	1,15	3,51	7,12	2,63	2,82	21,27	21,45	19,402	456,2415	NA		
14	U	Up	70	U3060B	U3063B	F4	4056	A	70U4056A	1	1	20.07.2016	0	3,06	7,5	3,26	3,26	20,04	24,05	24,45	481,962	NA		
76	U	Up	70	U3060B	U3063B	F4	4056	A	70U4056A	2	1	28.07.2016	0	3,43	7,57	3,45	3,13	20,99	23,47	24,9053	492,6353	NA		
159	U	Up	70	U3060B	U3063B	F4	4056	A	70U4056A	3	1	11.08.2016	0	2,73	6,71	2,98	3,24	20,45	21,95	20,8681	448,8775	NA		
20	U	Up	70	U3063B	U3001	F4	4057	A	70U4057A	1	1	21.07.2016	1,54	3,18	6,27	2,42	2,22	19,35	18,73	14,5464	362,4255	NA		
163	U	Up	70	U3063B	U3001	F4	4057	A	70U4057A	2	1	11.08.2016	0	3,06	7,14	2,84	2,44	18,76	18,98	18,8496	356,0648	NA		
173	U	Up	70	U3063B	U3001	F4	4057	A	70U4057A	3	1	23.08.2016	0	3,66	7,78	2,93	2,86	22,02	22,01	22,5231	484,6602	NA		
19	U	Up	70	U3063B	U3001	F4	4057	B	70U4057B	1	2	21.07.2016	0	2,49	6,08	2,32	2,49	18,97	21,02	14,6224	398,7494	NA		
82	U	Up	70	U3063B	U3001	F4	4057	B	70U4057B	2	1	28.07.2016	0	2,92	6,95	2,61	2,6	19,19	20,89	18,10475	400,8791	NA		
89	U	Up	70	U3063B	U3001	F4	4057	B	70U4057B	3	1	29.07.2016	0	3,19	7,25	2,72	2,62	20,53	22,64	19,3575	464,7992	NA		
4	U	Up	70	U3063B	U3024B	F4	4058	A	70U4058A	1	1	15.07.2016	0	3,76	7,41	3,02	2,89	21,34	23,54	21,89655	502,3436	NA		
221	U	Up	70	U3063B	U3024B	F4	4058	A	70U4058A	2	1	29.08.2016	0	2,87	7,07	2,98	2,73	20,84	22,93	20,18485	477,8612	NA		
222	U	Up	70	U3063B	U3024B	F4	4058	A	70U4058A	3	3	29.08.2016	0	3,34	7,64	3,32	2,96	22,34	23,11	23,9896	516,2774	NA		
250	U	Up	70	U3063B	U3032	F4	4059	A	70U4059A	1	1	12.09.2016	0,5	2,49	6,73	3,09	2,77	21,2	22,74	19,7189	482,088	NA		
251	U	Up	70	U3063B	U3032	F4	4059	A	70U4059A	2	1	13.09.2016	0	3,06	6,86	2,7	3,14	21,53	24,05	20,0312	517,7965	NA		
NA	U	Up	70	U3063B	U3032	F4	4059	A	70U4059A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
133	U	Up	70	U3063B	U3054	F4	4060	C	70U4060C	1	1	08.08.2016	0	2,89	7,6	2,71	3,01	19,8	21,55	21,736	426,69	NA		
223	U	Up	70	U3063B	U3054	F4	4060	C	70U4060C	2	1	29.08.2016	1,57	3,49	6,21	2,72	2,84	23,06	22,08	17,2638	509,1648	NA		
243	U	Up	70	U3063B	U3054	F4	4060	C	70U4060C	3	2	31.08.2016	0,65	3,31	7,02	2,88	2,92	22,2	23,21	20,358	515,262	NA		
118	U	Up	70	3008B	U3001	F4	4061	A	70U4061A	1	1	08.08.2016	0,55	3	6,97	3,04	3,13	20,1	20	21,50245	402	NA		
171	U	Up	70	3008B	U3001	F4	4061	A	70U4061A	2	1	23.08.2016	0,83	3,52	7,23	2,85	2,99	20,58	20,07	21,1116	413,0406	NA		
194	U	Up	70	3008B	U3001	F4	4061	A	70U4061A	3	1	24.08.2016	0,54	4,02	6,57	2,54	2,54	22	21,01	16,6878	462,22	NA		
28	U	Up	70	3008B	U3001	F4	4061	B	70U4061B	1	1	22.07.2016	0	3,69	6,54	2,55	2,79	19,2	21,03	17,4618	403,776	NA		
37	U	Up	70	3008B	U3001	F4	4061	B	70U4061B	2	1	25.07.2016	0	3,33	7,25	2,84	2,93	19,36	19,96	20,91625	386,4256	NA		
100	U	Up	70	3008B	U3001	F4	4061	B	70U4061B	3	1	05.08.2016	0	3,52	7,09	2,98	2,94	19,65	19,7	20,9864	387,105	NA		
77	U	Up	70	3008B	U3038B	F4	4062	A	70U4062A	1	1	28.07.2016	0	4,05	6,52	2,33	2,56	20,02	19,49	15,9414	390,1898	NA		
214	U	Up	70	3008B	U3038B	F4	4062	A	70U4062A	2	1	28.08.2016	0	4,65	7,04	2,82	2,85	21,45	22,16	19,9584	475,332	NA		
232	U	Up	70	3008B	U3038B	F4	4062	A	70U4062A	3	1	29.08.2016	0	4,04	7,13	2,8	2,91	21,04	21,46	20,35615	451,5184	NA		
137	U	Up	70	3008B	U3054	F4	4063	A	70U4063A	1	1	09.08.2016	0,94	3,33	6,3	2,89	2,53	19,8	18,41	17,073	364,518	NA		
197	U	Up	70	3008B	U3054	F4	4063	A	70U4063A	2	1	24.08.2016	0	4,23	6,17	2,6	2,18	20,63	21,31	14,7463	439,6253	NA		
215	U	Up	70	3008B	U3054	F4	4063	A	70U4063A	3	1	28.08.2016	0,6	3,61	6,35	2,63	2,64	20,32	19,03	16,73225	386,6896	NA		
17	U	Up	70	3008B	U3054	F4	4063	B	70U4063B	1	1	21.07.2016	0	3,93	7,67	2,8	2,81	17,22	18,29	21,51435	314,9538	NA		
60	U	Up	70	3008B	U3054	F4	4063	B	70U4063B	2	1	27.07.2016	0	3,86	6,75	2,87	2,49	20,71	21,56	18,09	446,5076	NA		
81	U	Up	70	3008B	U3054	F4	4063	B	70U4063B	3	3	28.07.2016	0,67	4,94	6,55	2,71	2,81	21,71	22,1	18,078	479,791	NA		
75	U	Up	70	3008B	U3060B	F4	4064	B	70U4064B	1	1	28.07.2016	0	3,13	7	2,51	2,82	20,3	21,24	18,655	431,172	NA		
154	U	Up	70	3008B	U3060B	F4	4064	B	70U4064B	2	1	10.08.2016	0	3,24	6,41	2,65	2,83	19,74	19,8	17,5634	390,852	NA		
