No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
1	D	Down	70	70D3010	D3029	F4	4015	B	70D4015B	1	1	15.07.2016	1,61	2,07	5,98	2,55	2,44	20,27	21,03	14,9201	426,2781	NA		
35	D	Down	70	70D3010	D3029	F4	4015	B	70D4015B	2	1	22.07.2016	0,84	2,45	6,37	2,52	2,57	20,73	21,2	16,21165	439,476	NA		
62	D	Down	70	70D3010	D3029	F4	4015	B	70D4015B	3	1	27.07.2016	0	2,77	6,73	2,27	2,42	21,87	22,91	15,78185	501,0417	NA		
54	D	Down	70	70D3010	D3053	F4	4016	A	70D4016A	1	1	26.07.2016	0,37	2,56	5,38	2,08	1,98	15,24	14,37	10,9214	218,9988	NA		
55	D	Down	70	70D3010	D3053	F4	4016	A	70D4016A	2	1	26.07.2016	0	2,15	5,08	1,6	1,44	15,08	14,08	7,7216	212,3264	NA		
69	D	Down	70	70D3010	D3053	F4	4016	A	70D4016A	3	1	27.07.2016	0,76	2,44	5,73	2,09	2,05	15,65	15,32	11,8611	239,758	NA		
174	D	Down	70	70D3023	D3009	F4	4017	A	70D4017A	1	1	23.08.2016	0	2,62	5,49	2,14	2,39	17,42	16,62	12,43485	289,5204	NA		
175	D	Down	70	70D3023	D3009	F4	4017	A	70D4017A	2	1	23.08.2016	0	2,81	6,59	2,98	2,86	20	20,62	19,2428	412,4	NA		
210	D	Down	70	70D3023	D3009	F4	4017	A	70D4017A	3	2	28.08.2016	0	3,16	5,06	2,09	2,01	15,94	16,39	10,373	261,2566	NA		
4	D	Down	70	70D3023	D3037	F4	4018	A	70D4018A	1	1	15.07.2016	0	3,62	4,33	1,83	1,68	16,71	16,75	7,59915	279,8925	NA		
19	D	Down	70	70D3023	D3037	F4	4018	A	70D4018A	2	1	19.07.2016	2,02	3,4	5,03	1,82	1,65	20,52	20,86	8,72705	428,0472	NA		
134	D	Down	70	70D3023	D3037	F4	4018	A	70D4018A	3	1	08.08.2016	0	2,95	5,8	2,12	2,45	17,92	17,92	13,253	321,1264	NA		
51	D	Down	70	70D3023	D3037	F4	4018	B	70D4018B	1	2	26.07.2016	0,78	2,53	4,7	2,01	1,77	16,35	15,92	8,883	260,292	NA		
205	D	Down	70	70D3023	D3037	F4	4018	B	70D4018B	2	3	24.08.2016	0	3,29	6,33	2,5	2,26	19,31	17,01	15,0654	328,4631	NA		
240	D	Down	70	70D3023	D3037	F4	4018	B	70D4018B	3	1	07.09.2016	1,44	2,62	4,74	1,54	1,55	15,96	14,32	7,3233	228,5472	NA		
172	D	Down	70	70D3023	D3048	F4	4019	A	70D4019A	1	1	23.08.2016	0	2,1	5,79	2,5	2,44	17,84	16,19	14,3013	288,8296	NA		
199	D	Down	70	70D3023	D3048	F4	4019	A	70D4019A	2	1	24.08.2016	0	2,95	6,35	2,51	2,7	18,78	15,99	16,54175	300,2922	NA		
200	D	Down	70	70D3023	D3048	F4	4019	A	70D4019A	3	1	24.08.2016	0	2,93	5,65	2,34	2,31	17,91	15,96	13,13625	285,8436	NA		
12	D	Down	70	70D3023	D3049	F4	4020	A	70D4020A	1	2	16.07.2016	0	2,97	6,51	2,11	2,38	18,28	19,52	14,61495	356,8256	NA		
24	D	Down	70	70D3023	D3049	F4	4020	A	70D4020A	2	1	21.07.2016	0	2,4	5,85	2,13	2,11	19,52	17,67	12,402	344,9184	NA		
91	D	Down	70	70D3023	D3049	F4	4020	A	70D4020A	3	1	28.07.2016	0,66	2,89	5,95	2,3	2,33	17,78	19,13	13,77425	340,1314	NA		
44	D	Down	70	70D3028	D3006B	F4	4021	A	70D4021A	1	1	25.07.2016	0	2,65	5,19	1,98	2,03	16,69	16,35	10,40595	272,8815	NA		
201	D	Down	70	70D3028	D3006B	F4	4021	A	70D4021A	2	1	24.08.2016	0	2,8	5,13	1,98	2,01	17,08	17,36	10,23435	296,5088	NA		
202	D	Down	70	70D3028	D3006B	F4	4021	A	70D4021A	3	1	24.08.2016	0	3,18	5,22	2,13	1,76	17,28	16,3	10,1529	281,664	NA		
76	D	Down	70	70D3028	D3023	F4	4022	A	70D4022A	1	1	28.07.2016	0	3,29	5,59	2,23	2,09	18,54	17,69	12,0744	327,9726	NA		
77	D	Down	70	70D3028	D3023	F4	4022	A	70D4022A	2	1	28.07.2016	0	3,15	6,39	2,11	2,44	18,94	17,8	14,53725	337,132	NA		
173	D	Down	70	70D3028	D3023	F4	4022	A	70D4022A	3	2	23.08.2016	0,74	2,47	5,45	2,16	2,15	19	15,13	11,74475	287,47	NA		
114	D	Down	70	70D3028	D3023	F4	4022	B	70D4022B	1	2	29.07.2016	0	3,12	6,28	2,37	2,56	20,88	19,57	15,4802	408,6216	NA		
153	D	Down	70	70D3028	D3023	F4	4022	B	70D4022B	2	1	08.08.2016	0	2,9	5,56	2,13	2,29	20,24	17,06	12,2876	345,2944	NA		
218	D	Down	70	70D3028	D3023	F4	4022	B	70D4022B	3	1	28.08.2016	0	3,26	5,44	2,09	1,89	17,84	14,65	10,8256	261,356	NA		
58	D	Down	70	70D3028	D3048	F4	4023	B	70D4023B	1	1	26.07.2016	0	2,78	6	2,2	2,37	18,71	17,04	13,71	318,8184	NA		
229	D	Down	70	70D3028	D3048	F4	4023	B	70D4023B	2	1	29.08.2016	0	2,49	5,36	1,94	2,12	16,88	15,24	10,8808	257,2512	NA		
233	D	Down	70	70D3028	D3048	F4	4023	B	70D4023B	3	1	31.08.2016	0,4	2,52	5,22	1,86	2,12	17,24	15,03	10,3878	259,1172	NA		
47	D	Down	70	70D3028	D3060	F4	4024	A	70D4024A	1	2	25.07.2016	0	2,64	5,32	1,64	2,04	16,91	15,26	9,7888	258,0466	NA		
141	D	Down	70	70D3028	D3060	F4	4024	A	70D4024A	2	1	08.08.2016	0	2,5	5,8	2,17	2,13	16,84	17,32	12,47	291,6688	NA		
182	D	Down	70	70D3028	D3060	F4	4024	A	70D4024A	3	1	23.08.2016	0,71	2,42	5,4	1,88	2,02	17,95	16,5	10,53	296,175	NA		
41	D	Down	70	70D3029	D3023	F4	4025	B	70D4025B	1	1	25.07.2016	0	2,97	5,31	1,74	2,01	20,58	18,29	9,95625	376,4082	NA		
71	D	Down	70	70D3029	D3023	F4	4025	B	70D4025B	2	1	27.07.2016	0,1	3,03	5,77	1,92	2,14	17,6	17,2	11,7131	302,72	NA		
158	D	Down	70	70D3029	D3023	F4	4025	B	70D4025B	3	1	09.08.2016	0	3,02	6,27	2,32	2,33	20,98	19,8	14,57775	415,404	NA		
2	D	Down	70	70D3029	D3028	F4	4026	A	70D4026A	1	1	15.07.2016	1,2	3,02	4,43	1,3	1,65	15,71	14,84	6,53425	233,1364	NA		
17	D	Down	70	70D3029	D3028	F4	4026	A	70D4026A	2	1	19.07.2016	0	2,5	5,47	1,76	1,72	17,51	17,24	9,5178	301,8724	NA		
33	D	Down	70	70D3029	D3028	F4	4026	A	70D4026A	3	1	21.07.2016	0,84	2,45	5,15	1,75	1,82	17,71	16,27	9,19275	288,1417	NA		
